List File,118_copy.lst
Start Time,2017-02-20  17:42:16
Sampling Time,39 sec

Count,432  of  432
Particles / ml,28887

Efficiency,7.7%
PPUI,6.65

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.76,19.60,935.81,123.01,132.60
Aspect Ratio,0.75,0.09,0.99,0.16,21.85
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.95,0.21,31.86
Circularity (Hu),0.84,0.13,1.00,0.15,17.61
Compactness,2.35,1.00,13.46,1.65,70.23
Diameter (ABD),9.67,5.00,34.52,4.97,51.42
Diameter (ESD),12.20,5.40,47.63,6.88,56.40
Elongation,5.05,1.00,40.25,5.34,105.74
Geodesic Aspect Ratio,0.40,0.02,1.00,0.30,74.47
Geodesic Length,23.84,5.97,198.78,21.18,88.86
Geodesic Thickness,5.99,1.28,25.68,2.63,43.87
Image Height,36.72,22.00,103.00,14.00,38.13
Image Width,35.74,21.00,102.00,12.14,33.98
Intensity,161.92,107.53,196.30,14.82,9.15
Length,14.41,5.74,55.30,8.65,60.03
Perimeter,59.66,23.88,407.44,42.35,70.98
Roughness,1.36,1.04,3.25,0.33,24.16
Sigma Intensity,37.02,3.39,55.21,9.52,25.71
Sum Intensity,70934.50,16775.00,5.81e+005,72099.44,101.64
Transparency,0.19,0.04,0.61,0.09,48.52
Volume (ABD),986.10,65.29,21535.13,2489.30,252.44
Width,9.42,4.04,40.74,5.04,53.45

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,1.85,0.08,535,0.05
6-7um,60,13.89,0.91,4012,0.59
7-8um,63,14.58,1.45,4213,0.94
8-9um,46,10.65,1.55,3076,1.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,212,49.07,5.53,14176,3.57
10-15um,125,28.94,12.88,8359,8.31
15-20um,53,12.27,13.64,3544,8.80
20-25um,13,3.01,7.17,869,4.62
25-30um,12,2.78,13.16,802,8.49
30-35um,7,1.62,12.39,468,7.99
35-40um,6,1.39,17.00,401,11
40-45um,3,0.69,12.37,201,7.98
45-50um,1,0.23,5.86,67,3.78
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,33,7.64,1.50,2207,0.97
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

