List File,96_r2.lst
Start Time,2017-02-20  17:26:12
Sampling Time,34 sec

Count,535
Particles / ml,36125

Efficiency,8.5%
PPUI,1.92

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),137.06,19.60,1085.73,181.67,132.54
Aspect Ratio,0.71,0.15,1.00,0.17,24.31
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.00,0.94,0.21,34.50
Circularity (Hu),0.83,0.22,1.00,0.16,19.26
Compactness,2.34,1.00,17.00,1.73,74.23
Diameter (ABD),11.33,5.00,37.18,6.79,59.96
Diameter (ESD),14.21,5.41,47.39,8.65,60.83
Elongation,5.01,1.00,51.37,5.58,111.36
Geodesic Aspect Ratio,0.37,0.02,1.00,0.26,70.59
Geodesic Length,26.18,5.97,168.90,20.71,79.10
Geodesic Thickness,6.92,1.66,25.89,4.16,60.07
Image Height,39.63,21.00,122.00,16.72,42.18
Image Width,40.08,22.00,110.00,16.81,41.93
Intensity,160.30,106.30,200.92,17.23,10.75
Length,17.09,5.88,60.39,11.00,64.40
Perimeter,66.21,23.88,346.27,43.67,65.95
Roughness,1.42,1.03,3.28,0.38,26.60
Sigma Intensity,36.68,4.59,56.29,9.97,27.19
Sum Intensity,97181.83,17835.00,6.71e+005,1.09e+005,111.73
Transparency,0.19,0.04,0.56,0.10,50.62
Volume (ABD),1835.85,65.29,26912.09,3707.22,201.93
Width,10.62,3.12,36.65,6.17,58.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,16,2.99,0.08,1080,0.11
6-7um,53,9.91,0.39,3579,0.51
7-8um,44,8.22,0.50,2971,0.67
8-9um,59,11.03,0.96,3984,1.26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,226,42.24,3.16,15260,4.16
10-15um,149,27.85,7.75,10061,10
15-20um,61,11.40,7.91,4119,10
20-25um,12,2.24,3.83,810,5.05
25-30um,32,5.98,18.23,2161,24
30-35um,31,5.79,27.14,2093,36
35-40um,12,2.24,15.45,810,20
40-45um,4,0.75,7.74,270,10
45-50um,3,0.56,8.08,203,11
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,53,9.91,1.21,3579,1.60
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

